40,운명을 바꾸는 부동산 투자 수업 : 기초편 ㅣ 운명을 바꾸는 부동산 투자 수업  ,부동산읽어주는남자(정태익) (지은이) , 리더스북 , 2022년 3월,"16,800원 → 15,120원 (10%할인)"
41,해커스 토익 기출 보카 TOEIC VOCA 단어장 ,David Cho (지은이) , 해커스어학연구소(Hackers) , 2019년 1월,"12,900원 → 11,610원 (10%할인)"
42,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩) ㅣ ETS 토익 정기시험 기출문제집  ,ETS (엮은이) , (주)YBM(와이비엠) , 2021년 12월,"17,800원 → 16,020원 (10%할인)"
43,긴긴밤 ㅣ 보름달문고 83 ,루리 (지은이) , 문학동네 , 2021년 2월,"11,500원 → 10,350원 (10%할인)"
44,울고 있는 아이에게 말을 걸면 ,변진경 (지은이) , 아를 , 2022년 5월,"17,000원 → 15,300원 (10%할인)"
45,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝) ㅣ ETS 토익 정기시험 기출문제집  ,ETS (엮은이) , (주)YBM(와이비엠) , 2021년 12월,"17,800원 → 16,020원 (10%할인)"
46,2023 ACL 강해준 경찰학 단권화노트 2.0 (필다나) ,강해준 (지은이) , 에이씨엘커뮤니케이션 , 2022년 5월,"25,000원 → 22,500원 (10%할인)"
47,브라질에 비가 내리면 스타벅스 주식을 사라 ,"피터 나바로 (지은이), 이창식 (옮긴이), 윤지호 (감수) ", 에프엔미디어 , 2022년 4월,"18,000원 → 16,200원 (10%할인)"
48,기븐 7 ,키즈 나츠키 (지은이) , 현대지능개발사 , 2022년 4월,"6,000원 → 5,400원 (10%할인)"
49,"빠졌어, 너에게 ","와야마 야마 (지은이), 김진희 (옮긴이) ", 문학동네 , 2021년 4월,"8,500원 → 7,650원 (10%할인)"
50,안데르센 메르헨 (어린이날 100주년 기념 특별판) ㅣ 문지아이들  ,"한스 크리스티안 안데르센 (지은이), 니콜라우스 하이델바흐 (그림), 김서정 (옮긴이) ", 문학과지성사 , 2022년 4월,"35,000원 → 31,500원 (10%할인)"
51,무엇이 옳은가 ,"후안 엔리케스 (지은이), 이경식 (옮긴이) ", 세계사 , 2022년 4월,"17,800원 → 16,020원 (10%할인)"
52,웰씽킹 WEALTHINKING (10만 부 기념 한정판 골드 에디션) ,켈리 최 (지은이) , 다산북스 , 2021년 11월,"16,000원 → 14,400원 (10%할인)"
53,꽃샘바람에 흔들린다면 너는 꽃  ,류시화 (지은이) , 수오서재 , 2022년 4월,"13,500원 → 12,150원 (10%할인)"
54,예의 없는 친구들을 대하는 슬기로운 말하기 사전 ㅣ 슬기사전 2 ,"김원아 (지은이), 김소희 (그림) ", 사계절 , 2022년 1월,"13,000원 → 11,700원 (10%할인)"
55,오르막길 ,탁재형 (지은이) , 넥서스BOOKS , 2022년 5월,"28,000원 → 25,200원 (10%할인)"
56,도원암귀 5 ㅣ S코믹스  ,"우루시바라 유라 (지은이), 천선필 (옮긴이) ", ㈜소미미디어 , 2022년 5월,"6,000원 → 5,400원 (10%할인)"
57,게으르다는 착각 ,"데번 프라이스 (지은이), 이현 (옮긴이) ", 웨일북 , 2022년 4월,"18,000원 → 16,200원 (10%할인)"
58,쥬비스 미라클 ,조성경 (지은이) , 쌤앤파커스 , 2022년 3월,"16,000원 → 14,400원 (10%할인)"
59,지리의 힘 2 ㅣ 지리의 힘 2 ,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2022년 4월,"23,000원 → 20,700원 (10%할인)"
60,별똥별이 떨어지는 그곳에서 기다려 시즌 2: 1  ,만물상 (지은이) , 재미주의 , 2022년 5월,"15,000원 → 13,500원 (10%할인)"
